Method,Avg_Kendall_Tau
FairMedian,0.5442105263157895
KuhlmanConsensus,0.5442105263157895
CombMNZ,0.5336842105263158
DIBRA,0.5336842105263158
CG,0.5336842105263158
BordaCount,0.5336842105263158
CombANZ,0.5336842105263158
Mean,0.5336842105263158
CombSUM,0.5336842105263158
Median,0.531578947368421
RRF,0.531578947368421
MC2,0.5252631578947368
MC4,0.5252631578947368
PostNDCG,0.5231578947368422
iRANK,0.5189473684210527
Dowdall,0.5189473684210527
ER,0.4957894736842105
CombMIN,0.4705263157894737
CombMAX,0.45999999999999996
MC1,0.37578947368421056
MC3,0.37578947368421056
