Method,Avg_Kendall_Tau
FairMedian,0.6221052631578947
KuhlmanConsensus,0.6199999999999999
PostNDCG,0.6157894736842107
iRANK,0.6157894736842107
CombMNZ,0.6157894736842107
DIBRA,0.6157894736842107
CG,0.6157894736842107
BordaCount,0.6157894736842107
CombANZ,0.6157894736842107
Mean,0.6157894736842107
Dowdall,0.6157894736842107
CombSUM,0.6157894736842107
RRF,0.6157894736842106
ER,0.611578947368421
MC4,0.6094736842105264
MC2,0.6052631578947368
Median,0.6031578947368421
CombMAX,0.588421052631579
CombMIN,0.531578947368421
MC1,0.508421052631579
MC3,0.508421052631579
