Method,Avg_Kendall_Tau
KuhlmanConsensus,0.5789473684210527
FairMedian,0.5789473684210525
CombMNZ,0.5726315789473685
CG,0.5726315789473685
BordaCount,0.5726315789473685
CombANZ,0.5726315789473684
Mean,0.5726315789473684
CombSUM,0.5726315789473684
DIBRA,0.5705263157894738
RRF,0.5684210526315789
MC2,0.5684210526315789
MC4,0.5684210526315789
PostNDCG,0.5663157894736842
iRANK,0.5663157894736842
Dowdall,0.5663157894736842
Median,0.5621052631578948
ER,0.5536842105263158
CombMAX,0.5368421052631579
CombMIN,0.4778947368421053
MC3,0.448421052631579
MC1,0.44421052631578944
