Method,Avg_Kendall_Tau
FairMedian,0.591578947368421
KuhlmanConsensus,0.591578947368421
Median,0.5852631578947369
DIBRA,0.5831578947368421
CombMNZ,0.5810526315789475
RRF,0.5810526315789475
CG,0.5810526315789475
BordaCount,0.5810526315789475
CombANZ,0.5810526315789475
Mean,0.5810526315789475
CombSUM,0.5810526315789475
PostNDCG,0.5810526315789474
iRANK,0.5810526315789474
Dowdall,0.5810526315789474
MC2,0.576842105263158
MC4,0.5768421052631578
ER,0.5726315789473684
CombMAX,0.5536842105263158
CombMIN,0.5136842105263157
MC1,0.5073684210526316
MC3,0.4989473684210526
